1	'PRE'	'PRE'	'LOW'	'LOW'
2	PRE	PRE	LOW	MOD
3	PRE	PRE	LOW	HIGH
4	PRE	PRE	MOD	LOW
5	PRE	PRE	MOD	MOD
6	PRE	PRE	MOD	HIGH
7	PRE	PRE	HIGH	LOW
8	PRE	PRE	HIGH	MOD
9	PRE	PRE	HIGH	HIGH
10	PRE	POST	LOW	LOW
11	PRE	POST	LOW	MOD
12	PRE	POST	LOW	HIGH
13	PRE	POST	MOD	LOW
14	PRE	POST	MOD	MOD
15	PRE	POST	MOD	HIGH
16	PRE	POST	HIGH	LOW
17	PRE	POST	HIGH	MOD
18	PRE	POST	HIGH	HIGH
19	POST	PRE	LOW	LOW
20	POST	PRE	LOW	MOD
21	POST	PRE	LOW	HIGH
22	POST	PRE	MOD	LOW
23	POST	PRE	MOD	MOD
24	POST	PRE	MOD	HIGH
25	POST	PRE	HIGH	LOW
26	POST	PRE	HIGH	MOD
27	POST	PRE	HIGH	HIGH
28	POST	POST	LOW	LOW
29	POST	POST	LOW	MOD
30	POST	POST	LOW	HIGH
31	POST	POST	MOD	LOW
32	POST	POST	MOD	MOD
33	POST	POST	MOD	HIGH
34	POST	POST	HIGH	LOW
35	POST	POST	HIGH	MOD
36	POST	POST	HIGH	HIGH
