HR,WT,Sal,Chl
PRE,POST,HIGH,LOW
PRE,POST,LOW,LOW
PRE,POST,MOD,HIGH
POST,POST,MOD,HIGH
PRE,POST,LOW,HIGH
PRE,POST,HIGH,HIGH
PRE,POST,HIGH,HIGH
PRE,POST,HIGH,LOW
PRE,POST,HIGH,MOD
PRE,PRE,LOW,MOD
PRE,PRE,MOD,LOW
PRE,PRE,LOW,HIGH
PRE,PRE,MOD,HIGH
PRE,PRE,LOW,HIGH
POST,PRE,MOD,HIGH
PRE,PRE,LOW,LOW
PRE,PRE,LOW,MOD
PRE,PRE,MOD,LOW
PRE,PRE,LOW,MOD
PRE,POST,LOW,LOW
PRE,POST,MOD,MOD
PRE,POST,LOW,LOW
PRE,POST,HIGH,LOW
PRE,POST,HIGH,MOD
PRE,POST,HIGH,LOW
PRE,POST,HIGH,LOW
POST,POST,LOW,MOD
PRE,POST,LOW,LOW
PRE,POST,LOW,HIGH
PRE,POST,LOW,LOW
PRE,POST,LOW,LOW
PRE,PRE,LOW,LOW
PRE,PRE,LOW,HIGH
PRE,PRE,LOW,HIGH
PRE,PRE,LOW,HIGH
POST,PRE,LOW,HIGH
POST,PRE,LOW,HIGH
POST,PRE,LOW,HIGH
POST,PRE,LOW,LOW
POST,PRE,HIGH,LOW
POST,PRE,HIGH,LOW
POST,PRE,HIGH,LOW
POST,PRE,HIGH,LOW
POST,PRE,HIGH,HIGH
POST,PRE,HIGH,LOW
POST,POST,LOW,LOW
PRE,POST,LOW,LOW
POST,POST,LOW,MOD
POST,POST,LOW,LOW
POST,POST,LOW,LOW
POST,POST,HIGH,LOW
POST,POST,LOW,HIGH
POST,POST,LOW,LOW
POST,POST,LOW,LOW
POST,POST,MOD,LOW
POST,POST,LOW,HIGH
POST,POST,LOW,MOD
POST,POST,LOW,MOD
PRE,PRE,HIGH,MOD
POST,PRE,LOW,HIGH
POST,PRE,LOW,LOW
POST,PRE,LOW,LOW
POST,PRE,LOW,LOW
POST,PRE,LOW,LOW
POST,PRE,HIGH,LOW
POST,PRE,MOD,LOW
POST,PRE,MOD,HIGH
POST,PRE,MOD,HIGH
POST,PRE,HIGH,HIGH
POST,PRE,LOW,HIGH
POST,PRE,LOW,HIGH
POST,PRE,LOW,HIGH
POST,PRE,LOW,HIGH
POST,PRE,LOW,LOW
POST,PRE,LOW,LOW
POST,POST,HIGH,LOW
PRE,POST,HIGH,LOW
POST,POST,HIGH,LOW
POST,POST,HIGH,MOD
POST,POST,HIGH,MOD
POST,POST,HIGH,MOD
POST,POST,HIGH,LOW
POST,POST,HIGH,LOW
POST,POST,HIGH,LOW
POST,POST,HIGH,LOW
POST,POST,LOW,LOW
POST,POST,LOW,LOW
POST,POST,LOW,LOW
POST,POST,LOW,LOW
POST,POST,LOW,LOW
POST,POST,MOD,LOW
POST,POST,MOD,HIGH
POST,POST,MOD,HIGH
PRE,POST,LOW,HIGH
POST,POST,LOW,LOW
POST,POST,LOW,HIGH
POST,POST,LOW,MOD
POST,POST,LOW,LOW
POST,PRE,LOW,HIGH
POST,PRE,LOW,MOD
POST,PRE,LOW,LOW
POST,PRE,LOW,HIGH
PRE,PRE,LOW,MOD
POST,PRE,HIGH,LOW
POST,PRE,HIGH,HIGH
POST,PRE,HIGH,MOD
POST,PRE,LOW,MOD
POST,PRE,LOW,MOD
POST,PRE,LOW,HIGH
POST,PRE,LOW,HIGH
POST,PRE,LOW,HIGH
POST,PRE,MOD,HIGH
POST,PRE,MOD,HIGH
POST,PRE,MOD,LOW
PRE,POST,MOD,LOW
POST,POST,MOD,LOW
POST,POST,MOD,HIGH
POST,POST,MOD,LOW
POST,POST,MOD,MOD
POST,POST,MOD,MOD
POST,POST,MOD,LOW
PRE,POST,MOD,HIGH
PRE,POST,MOD,HIGH
PRE,POST,MOD,HIGH
PRE,POST,MOD,HIGH
PRE,POST,MOD,LOW
PRE,POST,MOD,MOD
PRE,POST,MOD,LOW
PRE,POST,MOD,MOD
PRE,PRE,MOD,LOW
PRE,PRE,HIGH,MOD
POST,PRE,HIGH,LOW
PRE,PRE,HIGH,LOW
PRE,PRE,HIGH,LOW
POST,PRE,HIGH,LOW
