HeaderID,Bay_Segment
8,Hillsborough Bay
10,Hillsborough Bay
11,Hillsborough Bay
14,Hillsborough Bay
15,Hillsborough Bay
16,Hillsborough Bay
17,Hillsborough Bay
19,Hillsborough Bay
20,Hillsborough Bay
21,Hillsborough Bay
22,Hillsborough Bay
23,Hillsborough Bay
25,Hillsborough Bay
26,Hillsborough Bay
27,Hillsborough Bay
28,Hillsborough Bay
29,Hillsborough Bay
30,Hillsborough Bay
31,Hillsborough Bay
32,Hillsborough Bay
33,Hillsborough Bay
34,Middle Tampa Bay
35,Hillsborough Bay
36,Hillsborough Bay
37,Hillsborough Bay
38,Hillsborough Bay
39,Hillsborough Bay
40,Hillsborough Bay
41,Hillsborough Bay
42,Hillsborough Bay
43,Hillsborough Bay
44,Hillsborough Bay
45,Hillsborough Bay
46,Hillsborough Bay
47,Hillsborough Bay
48,Old Tampa Bay
49,Old Tampa Bay
50,Old Tampa Bay
51,Old Tampa Bay
53,Old Tampa Bay
55,Old Tampa Bay
56,Old Tampa Bay
57,Old Tampa Bay
58,Old Tampa Bay
59,Old Tampa Bay
60,Old Tampa Bay
61,Old Tampa Bay
62,Old Tampa Bay
64,Old Tampa Bay
65,Old Tampa Bay
66,Old Tampa Bay
67,Old Tampa Bay
68,Old Tampa Bay
69,Old Tampa Bay
70,Old Tampa Bay
71,Boca Ciega Bay
72,Old Tampa Bay
73,Old Tampa Bay
74,Old Tampa Bay
77,Middle Tampa Bay
78,Middle Tampa Bay
80,Middle Tampa Bay
81,Middle Tampa Bay
82,Middle Tampa Bay
84,Middle Tampa Bay
85,Middle Tampa Bay
86,Middle Tampa Bay
87,Lower Tampa Bay
88,Lower Tampa Bay
89,Lower Tampa Bay
90,Lower Tampa Bay
91,Manatee River
92,Manatee River
93,Lower Tampa Bay
94,Boca Ciega Bay
95,Lower Tampa Bay
96,Lower Tampa Bay
97,Lower Tampa Bay
98,Boca Ciega Bay
99,Boca Ciega Bay
100,Boca Ciega Bay
101,Boca Ciega Bay
102,Boca Ciega Bay
103,Boca Ciega Bay
