HeaderID,Project_Name,Bay_Segment,Lead_Entity,Completion_Date,TP_Reduction_lbs_yr,TN_Reduction_lbs_yr,TSS_Reduction_lbs_yr,ProjectName,OngoingInitiation,DiscontinuedDate,CompletionDate,ActualProjectCost,FundingSource,ProjectDescriptionText,NonPointProject,PointProject,ProjectLatitude,ProjectLongitude
8,Delany Creek Wetland Restoration Project,Hillsborough Bay,Hillsborough County,1997,NA,1691.3,NA,Delany Creek Wetland Restoration Project,1996,0,1997,"$445,746.13",NULL,"Delaney Creek receives runoff from a watershed of approximately 16 square miles that  flows directly into Upper 
Hillsborough Bay. Reduction rate supplied by partner.",1,1,27.92362483,-82.38579458
10,Cone Ranch Restoration Project,Hillsborough Bay,Hillsborough County,1999,140,331,3210,Cone Ranch Restoration Project,1999,0,1999,NA,"EPA's section 319(h) grant, Hillsborough County, various in-kind services",The project will attempt to restore hydroperiod to 400 acres of ditched and drained wetlands.  Five ponds were created in the project area. 2003 update: Seven ponds (not five as previously described).,1,1,28.12181309,-82.12251217
11,29th or 30th Street Outfall/ Mckay Bay,Hillsborough Bay,City of Tampa,1998,4.5,33.3,4457,29th or 30th Street Outfall/ Mckay Bay,1997,0,1998,NA,NA,"One element has been designed to date Ã¢â‚¬â€œ a baffle box for a 19 acre site near the outfall Ã¢â‚¬â€œ and a second, could potentially  treat the first Ã‚Â_Ã¢â‚¬Âù of its 190 acre contributing basin.  RP 3/26/08 - Complete 1998.",1,0,28.019236,-82.21548
14,Palma Ceia Area Stormwater Pond,Hillsborough Bay,City of Tampa,2001,28.4,93.4,2432,Palma Ceia Area Stormwater Pond,2000,0,2001,"$1,100,000.00",NA,Project complete.  The contributing area will probably be in the 70-75 acre range. Year 2000 Update: Construction to begin in FY2000.,1,0,28.019236,-82.21548
15,North Tampa Pond Enlargements,Hillsborough Bay,City of Tampa,2002,0.8,2.5,65,North Tampa Pond Enlargements,2001,0,2002,"$990,000.00",general fund - utility taxes mostly,These two ponds currently drain to sinkholes. The stormwater attenuation/ treatment ponds planned for the sink area will have minimal nitrogen reduction impacts on the bay. Area treated = needed; Treatment area = 2 acres.,1,0,28.019236,-82.21548
19,East Lake (Alum) Stormwater Retrofit Project,Hillsborough Bay,SWFWMD,2000,NA,5244,NA,East Lake (Alum) Stormwater Retrofit Project,1998,0,2000,"$807,000.00",NA,The objective of the project is the implementation of an alum injection stormwater treatment system to treat stormwater runoff entering East Lake.  Reduction efficiency supplied by SWFWMD.  May come on line in 2006.,1,1,27.988065,-82.373728
20,Lowry Park West Stormwater Retrofit Project,Hillsborough Bay,City of Tampa,1998,50.3,168.2,6215,Lowry Park West Stormwater Retrofit Project,1997,0,1998,"$397,268.00","$295,188 Construction; $102,079 Monitoring/Permitting",Construction of a 2 acre stormwater treatment pond to provide limited treatment of runoff from a 100 acre basin.  Year 2000 Update: Project complete.  Monitoring is ongoing.,1,1,28.013639,-82.467792
21,Lake Thonotosassa Marsh Restoration Project,Hillsborough Bay,SWFWMD,1999,28,66.2,642,Lake Thonotosassa Marsh Restoration Project,1997,0,1999,"$1,380,000.00",NA,Project was designed to address three major problems in the lake; reduce the concentration of phosphorous and nitrogen; reduce the sediment load to the lake by including a sedimentation basin.,1,1,28.05128459,-82.26688174
25,Flood Management Program,Hillsborough Bay,Hillsborough County,2002,NA,4e3,NA,Flood Management Program,0,0,2002,NA,NA,The objective of this program is to ensure that flood control projects consider water-quality impacts and to show how flood management projects in Hillsborough County can be designed to protect or enhance water quality. Estimated reduction=needed.,1,0,28.019236,-82.21548
26,Pistol Range Stormwater Retrofit Project,Hillsborough Bay,SWFWMD,2000,203.9,2103.3,60399,Pistol Range Stormwater Retrofit Project,1998,0,2000,"$649,810.00",NA,Diversion of flow from approximately 620 acres through a reconfigured borrow pit system to provide treatment prior to discharge back into Pemberton Creek. Area treated=620 acres; treatment area=needed,1,1,28.039363,-82.13978
27,Alafia River Corridor Land Acquisition,Hillsborough Bay,SWFWMD,1995,NA,504,NA,Alafia River Corridor Land Acquisition,0,0,1995,NA,NULL,"Alafia River Cooridor Land Acquisition.  Year 2000 Update: None, the acquisition is complete.",1,1,27.826852,-82.132505
28,Eastern Associated Terminals Stormwater Improvements,Hillsborough Bay,Eastern Terminals,1996,NA,2190,NA,Eastern Associated Terminals Stormwater Improvements,0,0,1996,NA,Eastern Terminals,"Enclose outside conveyor belts, construct 
berm and swale. Efficiency rating (Partnership 
for Progress page HB.12). Area 
treated=needed",1,1,27.918834,-82.41985
