HeaderID,ProjectName,OngoingInitiation,DiscontinuedDate,CompletionDate,ActualProjectCost,FundingSource,ProjectDescriptionText,NonPointProject,PointProject,ProjectLatitude,ProjectLongitude
1395,NA,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1394,Water Atlas,0,0,0,NA,NULL,NULL,1,1,0,0
1393,Pinellas Co. Adopt-A-Pond Program,0,0,0,NA,NULL,NULL,1,1,0,0
1392,Pinellas Co. Landscape Ordinance,0,0,0,NA,NULL,NULL,1,1,0,0
1391,Pinellas Co. Pet Waste Ordinance,0,0,0,NA,NULL,NULL,1,1,0,0
1390,Pinellas Co Fertilizer Ordinance,2010,0,0,NA,NULL,NULL,1,1,0,0
1389,test,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1387,Long Branch Stormwater Pond Improvement BMP 6,2016,0,0,NA,NULL,NULL,1,1,0,0
1386,Starkey Stormwater Pond Improvement WL94,2017,0,0,NA,NULL,NULL,1,1,0,0
1385,Starkey Wetland Enhancement M10,2017,0,0,NA,NULL,NULL,1,1,0,0
1384,Eagle Lake Stormwater Ponds,2017,0,0,NA,NULL,NULL,1,1,0,0
1383,Roosevelt Stormwater Ponds,2017,0,0,NA,NULL,NULL,1,1,0,0
1382,Lake Seminole Alum Treatment Subbasin 2,2012,0,0,NA,NULL,NULL,1,1,0,0
1373,Street Sweeping,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1369,Street Sweeping,2014,0,0,"45,000",NULL,Annual Street Sweeping reported In NPDES report.,1,1,0,0
1368,NHARP,0,0,0,NA,NULL,The Northwest Hillsborough Aquifer Recharge Project (NHARP) is an innovative water resource project that utilizes highly treated reclaimed water to recharge an aquifer that has been impacted by salt water intrusion. The Hillsborough County Public Utilitie,1,1,28.036389,-82.636389
1367,SHARE,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1364,BWA Pond A Dredging,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1363,test,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1362,Eagle Lake Park Water Quality Improvements Project,0,0,0,NA,"Penny for Pinellas, TBERF Grant","Overview
This SMF is located within the Allenâ€™s Creek Watershed, and consists of an 8.1 acre natural pond
(node NH0010) in the Watershed Model. Runoff enters the pond from approximately 84.2 acres of
basin area, which includes residential areas to the",1,1,27.938186,-82.766679
1361,Eagle Lake Park Water Quality Improvement,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1360,BMP Street Sweeping Year 3,0,0,0,NA,NA,NULL,1,1,0,0
1359,BMP Street Sweeping Year 2,0,0,0,NA,NA,NULL,1,1,0,0
1358,BMP Street Sweeping,2013,0,0,"45,000",NA,"Annual Street Sweeping contract. All city curbed streets are swept once a month and twice a month in February, March and April.   205 pounds of Nitrogen as removed due to Street Sweeping the City.",1,1,27.990853,-82.693155
1357,Stormwater Education and Outreach,0,0,0,NA,NA,NULL,1,1,0,0
1356,NPS,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1355,BWA Pond A Dredging,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1354,Manatee County SEWRF Upgrades,2013,0,0,"9,866,747",Utility rates,"Construction of two (2) 10 million gallon reclaimed water storage tanks at the Manatee County SEWRF.
 Upgrades to pump stations and connection to the MARS transmission line.  Upgrades expected to
improve distribution and efficient use of reclaimed water",1,1,0,0
1353,MARS Reclaimed Network Upgrades,2014,0,0,"4,890,000",Utility rates,"Installation of meters between service areas, and control valves for remote operation and redirection of reclaimed water flow.  Installation of telemetry at the water reclamation facilities, and the MARS pump stations.  Upgrades will improve the distribut",1,1,0,0
1352,Testing,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1351,Deep Well Injection at SWWRF,2015,0,0,"6,627,000",Utility rates,"Construction of a Class V injection well approximately to 1,200 feet at the SWWRF to add additional wet weather disposal.",1,1,0,0
1350,Deep Well Injection at NWRF,2010,0,0,"9,997,719","Utility rates, Utility bonds (RZEDB)",Construct a Class 1 Deep Injection Well and Class V recharge well for the NWRF.  Wells will improve and increase wet weather storage of treated wastewate that would otherwise be distributed for land application via the MARS line.,1,1,0,0
1349,Deep Well Injection- SWWRF,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1348,Stormwater,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1347,N Rena Dr. Improvements,2015,2016,0,"1,250,000",Penny for Pinellas,Alternatives to alleviate flooding and improve water quality in the Rena Drive area.,1,1,27.985,-82.731
1346,Sun Sierra MHP Drainage Improvements,2015,2016,0,"1,075,000",Penny for Pinellas,"Reduce flooding at the Sun Sierra MHP through conveyance improvements and construction of a 
wet detention pond.",1,1,27.885,-82.724
1345,Cross Bayou Improvements,2016,0,0,NA,Penny for Pinellas,"Improve conveyance through Cross Bayou Canal and reduce duration of flooding inluding 
sediment and exotic vegetation removal.",1,1,27.888,-82.712
1344,McKay Creek Water Quality Improvements near Hickory Dr,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1343,Lealman Pond,0,0,0,NA,NULL,NULL,1,1,27.825,-82.719
1342,McKay Creek at Hickory Dr.,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1341,NNPPSS 445566,0,0,0,NA,NULL,NULL,1,1,27.312,-81.45
1340,NPS 3456789,0,0,0,NA,NULL,NULL,1,1,27.45,-81.999
1339,NPS Test 6789,2011,0,2015,"1,000,000",Ad valoreum,Descriptive text here,1,1,27.333,-81.45
1338,PS Test,0,0,0,NA,NULL,NULL,1,1,27.5,-81.45
1337,NPS Project 123,2015,0,2016,"1,500,000","TMDL Grant,
CoOp Funding Project
",This is a NPS load reduction project in Hillsborough Bay segment.,1,1,27.5,-81.5
1336,NPS Project 1234,2015,0,2016,"1,000,000","TMDL Grant,
Co-op Funding Project",A file was attached.  This is a NPS load reduction project.,1,1,27.5,-81.4
1335,PS Test,2011,0,2015,10000000,"SWFWMD Coop, Ad valoreum",Moving discharge to reuse.,1,1,27.5,-81.556
1334,Testing 12345,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1333,Testing 123,2011,0,2015,5000,Yes,Testing decoment,1,1,27.5,-81.9
1332,New Record Test,2011,0,2015,1000,Funding Secure,NULL,1,1,27.5,-82.1
1331,Database Debacle,2012,0,2015,500,Ad-valoreum,Bay improvements,1,1,27.5,-82.1
1330,Testing Infinity,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1329,Testing Database 3,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1328,Testing Database 2,2013,0,2015,"1,000,000",Co-Op,A very good project,1,1,27.05,-81.35
1325,Manatee-Hillsborough Conservation Land Corridor Connection,0,0,0,NA,NULL,NULL,1,1,0,0
1324,Braden River Park,0,0,0,NA,NULL,NULL,1,1,0,0
1323,East Bradenton Wetland Park,0,0,0,NA,NULL,NULL,1,1,27.4829485,-82.5300753
1322,test Sarasota 3,0,0,0,NA,NULL,NULL,1,1,0,0
1321,test Sarasota 2,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1320,test Sarasota,0,0,0,NA,NULL,NULL,1,1,0,0
1319,bmap test,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1318,FDEP BMAP Example,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1316,Street Sweeping in Alafia River Basin,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1315,NA,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1310,Street Sweeping,NA,NA,NA,NULL,NA,NULL,NA,NA,NA,NA
1308,Street Sweeping,0,0,0,NA,NULL,NULL,1,1,0,0
1306,Bicycle Paths,2007,0,0,NA,NULL,NULL,1,1,27.769684,-82.63401
