Unique_Project_ID,Project_Name,Bay_Segment,Lead_Entity,Project_Activity,Project_Technology,Completion_Date,TN_Reduction_lbs_yr,ProjectLatitude,ProjectLongitude,Acres,ActualProjectCost
1001,Delany Creek Wetland Restoration Project,Hillsborough Bay,Hillsborough County,Nonpoint_Source,BMP_Wetland_Treatment,1997,1691.3,27.92362483,-82.38579458,,"$445,746.13 "
1002,Cone Ranch Restoration Project,Hillsborough Bay,Hillsborough County,Habitat_Enhancement,Hydrologic_Modification,1999,331,28.12181309,-82.12251217,,NA
1003,29th or 30th Street Outfall/ Mckay Bay,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_Baffle_Box,1998,33.3,28.019236,-82.21548,70-75,NA
1004,Palma Ceia Area Stormwater Pond,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_Stormwater_Pond,2001,93.4,28.019236,-82.21548,2,"$1,100,000.00 "
1005,North Tampa Pond Enlargements,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_Stormwater_Pond,2002,2.5,28.019236,-82.21548,,"$990,000.00 "
1006,East Lake (Alum) Stormwater Retrofit Project,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Stormwater_Pond,2000,5244,27.988065,-82.373728,,"$807,000.00 "
1007,Lowry Park West Stormwater Retrofit Project,Hillsborough Bay,City of Tampa,Nonpoint_Source,BMP_Stormwater_Pond,1998,168.2,28.013639,-82.467792,2,"$397,268.00 "
1008,Lake Thonotosassa Marsh Restoration Project,Hillsborough Bay,SWFWMD,Habitat_Establishment,Freshwater_Wetland,1999,66.2,28.05128459,-82.26688174,,"$1,380,000.00 "
1009,Flood Management Program,Hillsborough Bay,Hillsborough County,Nonpoint_Source,BMP_Managment,2002,4000,28.019236,-82.21548,,NA
1010,Pistol Range Stormwater Retrofit Project,Hillsborough Bay,SWFWMD,Nonpoint_Source,BMP_Stormwater_Pond,2000,2103.3,28.039363,-82.13978,,"$649,810.00 "
1011,Alafia River Corridor Land Acquisition,Hillsborough Bay,SWFWMD,Habitat_Protection,Acquisition,1995,504,27.826852,-82.132505,,NA
1012,Eastern Associated Terminals Stormwater Improvements,Hillsborough Bay,Eastern Terminals,Point_Source,BMP_On_Site,1996,2190,27.918834,-82.41985,,NA
1013,Cargill Fertilizer Stormwater Ponds,Hillsborough Bay,Mosaic,Point_Source,BMP_On_Site,1998,9.6,27.863575,-82.385047,,NA
1014,Cargill Fertilizer Dedicated Sump By Production Lab,Hillsborough Bay,Mosaic,Point_Source,BMP_On_Site,1996,59.4,27.863575,-82.385047,,NA
1015,Cargill Fertilizer Dedicated Sump At Product Loading Dock,Hillsborough Bay,Mosaic,Point_Source,BMP_On_Site,1996,1584,27.863575,-82.385047,,"$10,000.00 "
1016,Cargill Fertilizer Outfall Structural And Procedural Improvements,Hillsborough Bay,Mosaic,Point_Source,PS_Treatment,1997,1962,27.863575,-82.385047,,NA
1017,IMC-Agrico Company Termination Of Ammonia In Flot Plants-Alafia River,Middle Tampa Bay,Mosaic,Point_Source,PS_Treatment,1995,21000,27.662673,-82.215645,,NA
1018,IMC-Agrico Company Shiploading Terminals Stormwater And Spillage,Hillsborough Bay,Mosaic,Point_Source,BMP_On_Site,1994,25755,28.019236,-82.21548,,NA
1019,CF Industries Product Conveyor System Upgrade,Hillsborough Bay,Mosaic,Point_Source,BMP_On_Site,1993,19600,27.927192,-82.435207,,NA
1020,CF Industries Improved Dust Suppressant Application On Fertilizer Products,Hillsborough Bay,Mosaic,Point_Source,BMP_On_Site,1994,108,27.927192,-82.435207,,NA
1021,CF Industries Product Conveyor System Enhancement - Phase 2,Hillsborough Bay,Mosaic,Point_Source,BMP_On_Site,1997,41.4,27.927192,-82.435207,,NA
1022,CF Industries Stormwater Management System Project,Hillsborough Bay,Mosaic,Point_Source,BMP_On_Site,1997,NA,27.927192,-82.435207,,NA
1023,CSX Transportation Rockport Terminal Stormwater Management Improvements,Hillsborough Bay,CSX Transportation,Point_Source,BMP_On_Site,1997,74000,27.916449,-82.417664,,NA
1024,Del Oro Phase 1,Old Tampa Bay,City of Clearwater,Nonpoint_Source,BMP_Management,1996,58.5,28.012172,-82.609611,,"$328,386.00 "
1025,Cooper's Point Restoration,Old Tampa Bay,City of Clearwater,Habitat_Establishment,Mangrove,2001,NA,27.95993401,-82.71747599,,"$315,221.00 "
1026,Allen's Creek Rehabilitation At Lake View And Hercules (Red Maple Swamp),Old Tampa Bay,Pinellas County,Habitat_Enhancement,Freshwater_Wetland,1998,1466.8,28.012172,-82.609611,,NA
1027,Lower Sweetwater Creek Stormwater Retrofits,Old Tampa Bay,Hillsborough County,Nonpoint_Source,BMP_Management,2012,17.3,28.012172,-82.609611,,NA
1028,Brushy Creek Wetland Enhancement Project,Old Tampa Bay,Hillsborough County,Habitat_Enhancement,Freshwater_Wetland,1993,2.4,28.012172,-82.609611,,"$638,494.00 "
1029,"Alligator Creek Channel ""H"" Stormwater Treatment Pond",Old Tampa Bay,Pinellas County,Nonpoint_Source,BMP_Stormwater_Pond,1995,798.9,28.012172,-82.609611,,NA
1030,Al Lopez Park Pond Enhancement,Old Tampa Bay,City of Tampa,Nonpoint_Source,BMP_Stormwater_Pond,1994,43.9,28.012172,-82.609611,,"$375,000.00 "
1031,Lois And Henry Avenues Retention Pond (Drew Park Drainage And Improvements  Phase 1),Old Tampa Bay,City of Tampa,Nonpoint_Source,BMP_Stormwater_Pond,1997,49.2,28.012172,-82.609611,,"$350,000.00 "
