ID,type,tech,NEW_GRP
1,HABITAT_ENHANCEMENT,HYDROLOGIC_RESTORATION,HAB_HYD_REST
2,HABITAT_ENHANCEMENT,EXOTIC_CONTROL,HAB_MAN
3,HABITAT_ESTABLISHMENT,FW_WETLANDS,HAB_FW_WETLANDS
4,HABITAT_ENHANCEMENT,MANGROVES,HAB_SALTMARSH
5,HABITAT_ENHANCEMENT,SALTMARSH,HAB_SALTMARSH
6,HABITAT_PROTECTION,PROTECTION_MANAGEMENT,HAB_MAN
7,HABITAT_ENHANCEMENT,SEAGRASS_HABITAT,HAB_SEAGRASS
8,HABITAT_ENHANCEMENT,OYSTER_HABITAT,HAB_OYSTER
9,HABITAT_ESTABLISHMENT,SALTMARSH,HAB_SALTMARSH
10,HABITAT_ESTABLISHMENT,OYSTER_HABITAT,HAB_OYSTER
11,HABITAT_ESTABLISHMENT,MANGROVES,HAB_SALTMARSH
12,HABITAT_ESTABLISHMENT,SEAGRASS_HABITAT,HAB_SEAGRASS
13,HABITAT_PROTECTION,ACQUISITION,HAB_MAN
14,NONPOINT_SOURCE,BMP_WETLAND_TREATMENT,SW_BMP
15,NONPOINT_SOURCE,BMP_BAFFLE_BOX,SW_BMP
16,NONPOINT_SOURCE,BMP_STORMWATER_POND,SW_BMP
17,NONPOINT_SOURCE,BMP_MANAGEMENT,SW_BMP
18,POINT_SOURCE,BMP_ON_SITE,PS_MAN
19,POINT_SOURCE,PS_TREATMENT,PS_MAN
20,HABITAT_ENHANCEMENT,FW_WETLANDS,HAB_FW_WETLANDS
21,NONPOINT_SOURCE,SEND_TO_WWTP,SW_BMP
22,NONPOINT_SOURCE,BMP_ALUM_TREATMENT,SW_BMP
23,NONPOINT_SOURCE,BMP_TREATMENT_TRAIN,SW_BMP
24,HABITAT_ESTABLISHMENT,UPLANDS,HAB_MAN
25,HABITAT_ENHANCEMENT,DREDGING,HAB_HYD_REST
26,NONPOINT_SOURCE,EDUCATION,EDUCATION
27,POINT_SOURCE,INCREASE_REUSE,PS_MAN
28,POINT_SOURCE,MANAGEMENT,PS_MAN
29,NONPOINT_SOURCE,ATMOSPHERIC_DEPOSITION,SW_BMP
30,POINT_SOURCE,REGULATION,REGULATION
31,NONPOINT_SOURCE,BMP_CDS_UNIT,SW_BMP
32,HABITAT_PROTECTION,EDUCATION,EDUCATION
33,NONPOINT_SOURCE,BMP_AGRICULTURAL,SW_BMP
34,HABITAT_ENHANCEMENT,MANAGEMENT,HAB_MAN
35,NONPOINT_SOURCE,REGULATION,REGULATION
36,NONPOINT_SOURCE,STREET_SWEEPING,SW_BMP
